职位	薪资	工作经验	学历要求
Linux Engineer	1-1.5万/月	3-4年经验	本科
数据库工程师	1.2-1.6万/月	2年经验	本科
数据库工程师	5-7千/月	1年经验	大专
物联网技术讲师	2-3.5万/月	5-7年经验	本科
成本会计G00185	0.8-1.5万/月	3-4年经验	本科
运维工程师	3-6千/月	5-7年经验	本科
生物信息研发主管	1-2万/月	3-4年经验	本科
软件实施工程师	1-1.8万/月	3-4年经验	大专
雄研院-资深系统架构师	1.5-2万/月	3-4年经验	本科
ROS开发工程师-人工智能方向	1.5-3万/月	2年经验	本科
软件工程师	1.5-2万/月	2年经验	本科
前端工程师	1.2-1.5万/月	1年经验	本科
web全栈工程师	1.2-2.4万/月	2年经验	本科
R语言教师	400元/天	1年经验	本科
国企数据仓库工程师	2-2.5万/月	3-4年经验	本科
高精度算法工程师	1-3万/月	3-4年经验	大专
数字设计工程师	3-6万/月	5-7年经验	硕士
服务端开发工程师	0.7-2.5万/月	3-4年经验	本科
DSP软件工程师	1.5-3万/月	3-4年经验	本科
资深软件测试工程师	2.5-4万/月	5-7年经验	本科
基础会计	0.7-1.1万/月	2年经验	本科
算法工程师	2-3万/月	5-7年经验	硕士
Test Automation Validation Engineer	1-2万/月	3-4年经验	本科
信息安全顾问	2.5-3万/月	10年以上经验	本科
数据清洗工程师	6-8千/月	2年经验	本科
高级运维开发	1-2万/月	5-7年经验	大专
算法建模工程师	1-2万/月	2年经验	本科
Linux高级软件工程师	1.5-2万/月	3-4年经验	大专
生物信息研发主管（新产品临床应用方向）	1.5-2.3万/月	3-4年经验	硕士
算法工程师	2-3万/月	1年经验	硕士
C++高级开发工程师	3-4万/月	3-4年经验	大专
高薪急聘运维工程师 急 急	1-1.8万/月	无需经验	本科
前端开发工程师	1-1.5万/月	3-4年经验	本科
高级数据采集人员	16-30万/年	5-7年经验	本科
自动驾驶资深软件研发工程师	3-4.5千/月	3-4年经验	本科
算法工程师	1-1.5万/月	5-7年经验	本科
仪器技术工程师	0.5-1万/月	1年经验	本科
C++高级开发工程师	1.5-3万/月	3-4年经验	本科
系统运维工程师	1.5-2.5万/月	3-4年经验	本科
高级渗透测试工程师（红队方向）	2.5-3万/月	5-7年经验	本科
研发部开发工程师	1.5-2万/月	3-4年经验	本科
项目经理	2-2.5万/月	5-7年经验	本科
音频算法优化移植工程师	2-4万/月	3-4年经验	本科
网络安全工程师	1.5-2万/月	5-7年经验	本科
图像处理算法专家HR16	3-4万/月	5-7年经验	本科
数据分析主管	0.8-1万/月	3-4年经验	本科
配置管理	1-1.5万/月	1年经验	本科
在线辅导/海外在线tutor	170元/小时	在校生/应届生	本科
算法实习生	200元/天	在校生/应届生	硕士
深度学习工程师	1-2万/月	2年经验	本科
数据分析师	6-9千/月	在校生/应届生	本科
大数据开发工程师	2-2.5万/月	5-7年经验	本科
软件测试工程师	1-1.4万/月	3-4年经验	大专
自动化测试开发	1-1.5万/月	2年经验	本科
