职位	薪资	工作经验	学历要求
物流成本主管	1.5-2万/月	2年经验	大专
数据分析师（偏商业）	1.5-2万/月	3-4年经验	本科
渗透测试工程师	1-1.5万/月	3-4年经验	本科
技术支撑部经理	1-1.5万/月	5-7年经验	大专
应用网络工程师	1-1.5万/月	5-7年经验	本科
网络工程师	1-1.5万/月	5-7年经验	本科
数据库网络工程师	1-1.5万/月	5-7年经验	本科
安全网络工程师	1-1.5万/月	5-7年经验	本科
高级数据分析师	0.8-1.6万/月	在校生/应届生	硕士
ETL工程师	1-4万/月	5-7年经验	本科
大数据开发工程师	0.7-1.4万/月	1年经验	本科
大数据开发工程师	0.7-1.4万/月	1年经验	本科
报表开发工程师	0.8-1.6万/月	1年经验	本科
报表开发工程师	0.8-1.6万/月	1年经验	本科
运维工程师	0.7-1.4万/月	3-4年经验	本科
运维工程师	0.7-1.4万/月	3-4年经验	本科
CAE高级软件工程师	1.2-1.8万/月	1年经验	硕士
CAE软件开发工程师	1.5-2.5万/月	3-4年经验	硕士
服务器工程师	5-7千/月	在校生/应届生	本科
非功能测试工程师	1-1.5万/月	3-4年经验	本科
高级软件工程师（20/21应届硕士）	1.3-1.6万/月	在校生/应届生	硕士
培训协调员（Training Coordinator  ）	1.4-2万/月	5-7年经验	大专
软件开发工程师	1-1.3万/月	在校生/应届生	本科
机器人控制系统软件开发工程师	1.5-2.8万/月	3-4年经验	本科
嵌入式软件工程师（算法工程师）	1.5-3万/月	10年以上经验	本科
高新诚聘phython工程师	1-1.5万/月	3-4年经验	大专
Java后台开发工程师	1.5-2万/月	5-7年经验	本科
后台研发工程师(J10343)	1.8-2.5万/月	2年经验	本科
Linux运维工程师	0.8-1.3万/月	2年经验	本科
Linux开发工程师	1-1.5万/月	2年经验	本科
容器云研发工程师	1.3-2.6万/月	2年经验	本科
OpenStack开发工程师	0.8-1万/月	1年经验	本科
数据安全与密码应用工程师	1-1.5万/月	无需经验	本科
开发平台负责人	1-1.5万/月	5-7年经验	本科
AI图像识别工程师	2-3.5万/月	3-4年经验	硕士
FPGA工程师	1.5-2.5万/月	2年经验	本科
技术工程师（北京）	1-1.5万/月	3-4年经验	本科
大数据分析工程师	1.5-2.5万/月	5-7年经验	本科
大数据开发与分析工程师	1-1.5万/月	3-4年经验	本科
运维技术支持工程师	1-1.5万/月	3-4年经验	本科
软件测试工程师	0.8-1万/月	2年经验	大专
运维开发工程师	0.7-3万/月	3-4年经验	本科
MSS服务工程师	0.8-1万/月	2年经验	本科
电子所安全群-招聘	0.6-3万/月	2年经验	硕士
视频分析算法工程师	0.8-2万/月	2年经验	本科
大数据分析专员	6-8千/月	无需经验	大专
信息安全工程师	1-2万/月	3-4年经验	本科
Abaqus二次开发工程师	1-1.5万/月	无需经验	本科
区块链开发工程师	1-1.5万/月	2年经验	本科
版图设计工程师-集成电路创新中心	1-1.5万/月	2年经验	本科
后端设计工程师-集成电路创新中心	1-1.5万/月	2年经验	本科
数字IC设计工程师(IMPL/DFT)-集成电路创新中心	1-2万/月	2年经验	本科
数字IC设计工程师(Design)-集成电路创新中心	1-1.5万/月	2年经验	硕士
IC验证工程师-集成电路创新中心	1-2万/月	2年经验	本科
FPGA验证工程师-集成电路创新中心	1-1.5万/月	2年经验	硕士
软件架构师 (MJ001999)	1.5-2.2万/月	5-7年经验	本科
数据分析工程师 (MJ001301)	1-1.5万/月	在校生/应届生	本科
技术新星-知识图谱工程师 (MJ002649)	1.5-2万/月	在校生/应届生	硕士
开发工程师 (MJ002374)	1-1.5万/月	2年经验	本科
技术新星-算法工程师 (MJ002571)	1.5-2万/月	在校生/应届生	硕士
移动安全测试工程师	4-5万/月	2年经验	大专
技术美术（TA）	2-3.5万/月	5-7年经验	初中及以下
安全算法/风控工程师	4-5万/月	2年经验	本科
数据分析师	1.5-2万/月	3-4年经验	本科
零信任架构后台开发	2-2.5万/月	3-4年经验	大专
高级安全开发工程师	1.5-2万/月	3-4年经验	大专
技术美术TA（UE4）	1-1.5万/月	2年经验	本科
资深服务器工程师	2.5-3万/月	5-7年经验	本科
应急响应工程师	2.5-3万/月	3-4年经验	大专
游戏运维工程师	1.5-2.5万/月	3-4年经验	本科
HR数据分析师	2-2.5万/月	5-7年经验	本科
11312I-数据科学家（医疗方向）	2.5-3万/月	3-4年经验	硕士
11316H-云存储研发专家	3-4万/月	5-7年经验	本科
113131-后端开发工程师	1.5-2万/月	3-4年经验	本科
11318V-算法科学家（北京）	2-2.5万/月	3-4年经验	硕士
云计算高级运维专家	1.5-2.5万/月	2年经验	本科
大数据架构师	2.5-3万/月	5-7年经验	本科
LTE/5G核心网软件测试工程师	1-2万/月	1年经验	本科
容器架构技术专家	3-4万/月	5-7年经验	本科
软件开发工程师	1-1.5万/月	在校生/应届生	硕士
博士生科研计划（香港）	30-40万/年	在校生/应届生	博士
大数据开发工程师	1.2-2万/月	2年经验	本科
量化开发工程师	1.5-2万/月	1年经验	硕士
自动化测试工程师	2-3万/月	5-7年经验	本科
高级大数据开发工程师	1.5-2万/月	5-7年经验	本科
数据平台开发负责人	1.2-2万/月	3-4年经验	本科
大数据开发工程师	1.5-2万/月	5-7年经验	本科
运维测试工程师	1-1.7万/月	3-4年经验	本科
高级前端开发工程师	1.5-3万/月	5-7年经验	本科
数据库管理员	0.8-1.8万/月	3-4年经验	本科
Web前端开发工程师	1-1.5万/月	3-4年经验	本科
网络工程师	0.7-1万/月	2年经验	本科
数据运营专员	1.5-2万/月	5-7年经验	本科
DevOps支持实施工程师	1.5-2万/月	3-4年经验	本科
系统开发工程师	0.8-1.3万/月	2年经验	本科
NLP算法架构师	4-5万/月	5-7年经验	本科
GitAI支持实施工程师	1.5-2万/月	3-4年经验	本科
Cloud Solution Architect 403069	1.5-2万/月	5-7年经验	本科
Cloud Integration Engineer 403068	1-1.5万/月	无需经验	本科
核心网系统集成工程师 Integration Engineer	1-1.5万/月	1年经验	本科
Digital System Architect	3-4万/月	10年以上经验	本科
研发实习生	150元/天	在校生/应届生	本科
web测试工程师	0.8-1万/月	1年经验	本科
Web前端开发工程师	1.2-1.8万/月	3-4年经验	本科
WEB前端架构师	2-3万/月	8-9年经验	本科
大数据运维工程师(DX1yf)(J12152)	0.6-1.2万/月	2年经验	本科
信息安全工程师	1-1.5万/月	1年经验	本科
控制系统工程师	1-2万/月	3-4年经验	本科
数据分析运营 - 教育业务	2-4万/月	3-4年经验	本科
资深研发工程师-风控方向	3-6万/月	3-4年经验	本科
高级数据分析师 - 广告审核与风控	1.5-4.5万/月	无需经验	本科
后端研发工程师-数据方向	2.5-3.5万/月	无需经验	本科
广告策略后端工程师	2.5-5万/月	无需经验	本科
资深投放研发工程师-变现方向	3-6万/月	无需经验	本科
电商基地策略	2.5-3.5万/月	3-4年经验	本科
内审风控数据分析师	1.5-3万/月	3-4年经验	本科
短视频产品运营分析师	2-4万/月	3-4年经验	本科
短视频高级产品运营分析师	2-4万/月	5-7年经验	本科
UI实习生	2-3千/月	在校生/应届生	本科
数据仓库高级工程师	3-5万/月	无需经验	本科
商业化风控策略产品经理	2-4万/月	3-4年经验	本科
短视频策略产品经理	2-4万/月	3-4年经验	本科
安全运维工程师	1.4-2.3万/月	2年经验	本科
后端开发工程师 - 电商数据产品方向	2.5-5万/月	2年经验	本科
后端开发工程师（抖音电商）	3-6万/月	3-4年经验	本科
测试工程师-抖音客服中台	2-4万/月	无需经验	本科
服务器开发工程师	2.5-5万/月	2年经验	本科
教服客服	0.7-1.3万/月	2年经验	本科
推荐高级算法工程师	4-5万/月	8-9年经验	本科
数据仓库开发高级工程师	2-4万/月	2年经验	本科
数据挖掘工程师	3-4万/月	3-4年经验	本科
数据分析师-用户增长方向	3-5万/月	3-4年经验	本科
报表与流程专家（流程治理方向）	2-4万/月	5-7年经验	本科
服务端研发工程师-DevOps	2.3-5万/月	无需经验	本科
数据分析师	1.5-2.5万/月	2年经验	本科
资深后端开发工程师 — 效率工程	4-8万/月	5-7年经验	本科
服务端技术负责人 - 计算平台	3-5万/月	在校生/应届生	本科
高级解决方案研发架构师-火山引擎	1.5-3万/月	在校生/应届生	本科
大数据运维开发工程师	2-4万/月	在校生/应届生	本科
电商数据分析 - 安全运营方向	1-2.3万/月	3-4年经验	本科
商业分析高级专家	2.5-5万/月	3-4年经验	本科
全球战略分析师	3-8万/月	3-4年经验	本科
全球战略分析师	4-8万/月	3-4年经验	本科
数据分析-用户增长	1.5-3万/月	3-4年经验	本科
开发者社区内容运营-知识付费方向	1.8-3万/月	3-4年经验	本科
服务端开发工程师 - 商业化智慧营销平台	3-6万/月	3-4年经验	本科
英语内容运营实习生	2-4千/月	在校生/应届生	本科
销售运营管理	3.5-5万/月	5-7年经验	本科
业务分析专员	1.5-2.5万/月	3-4年经验	本科
服务端（高级）开发工程师-教育业务	2.5-5万/月	3-4年经验	本科
效率工程研发工程师（抖音）-大数据方向	2-4万/月	在校生/应届生	本科
数据产品经理-西瓜视频	2.5-4万/月	3-4年经验	本科
大数据工程师 - 用户增长数据应用	2-4万/月	3-4年经验	本科
后端开发实习生-教育新业务-有转正机会	6-8千/月	在校生/应届生	本科
测试开发工程师-支付	2-5万/月	在校生/应届生	本科
测试开发负责人-支付方向	3-6万/月	在校生/应届生	本科
服务端研发（高级）工程师 — 教育新业务	2.5-5万/月	3-4年经验	本科
校园招聘运营	1.5-2.5万/月	3-4年经验	本科
商业分析师（数据方向）-西瓜视频	2-4万/月	3-4年经验	本科
测试工程师（外包）	0.8-1.5万/月	3-4年经验	本科
IT尽调经理	1.5-2万/月	5-7年经验	本科
短视频策略运营经理 -校园	1.5-3万/月	3-4年经验	本科
经营分析-业务策略方向	2-4万/月	在校生/应届生	本科
服务架构高级研发工程师-抖音短视频	3-6万/月	5-7年经验	本科
风险数据分析师	0.8-2万/月	3-4年经验	本科
数据策略产品经理-抖音增长产品	1.3-2.6万/月	3-4年经验	本科
风控策略经理	1.5-2.5万/月	3-4年经验	本科
广告算法高级工程师	3-6万/月	3-4年经验	本科
大数据工程师	2.5-5万/月	在校生/应届生	本科
广告系统后端高级研发工程师	2.5-5万/月	3-4年经验	本科
广告系统-后端研发工程师	2.5-5万/月	3-4年经验	本科
资深后端研发工程师-数据方向	2.5-5万/月	3-4年经验	本科
品牌广告后端资深研发工程师	2.5-5万/月	3-4年经验	本科
后端资深研发工程师-商业变现方向	2.5-5万/月	3-4年经验	本科
IC 前端设计工程师-ARM	2-4万/月	在校生/应届生	本科
服务端leader-直播TikTok方向	5-8万/月	5-7年经验	本科
大数据开发工程师-直播	2.5-6万/月	在校生/应届生	本科
电商数据分析师	2-6万/月	在校生/应届生	本科
战略数据分析师（电商方向）	2-6万/月	在校生/应届生	本科
内容策略产品经理-西瓜视频	2-3.5万/月	3-4年经验	本科
直播变现算法工程师-抖音/直播	2.5-5万/月	3-4年经验	本科
短视频高级数据分析师	3-5万/月	5-7年经验	本科
短视频数据分析师	1.5-3万/月	3-4年经验	本科
广告技术数据科学家	3-6万/月	3-4年经验	本科
西瓜视频-策略分析师	2.5-4万/月	3-4年经验	本科
算法实习生 - 抖音短视频	0.8-1万/月	在校生/应届生	本科
数据与策略产品经理	2.5-4万/月	3-4年经验	本科
广告算法高级工程师	4-8万/月	3-4年经验	本科
广告算法专家	4-8万/月	3-4年经验	本科
垂直行业广告研发工程师	2-4万/月	3-4年经验	本科
ETL工程师-火山引擎	1.5-3万/月	3-4年经验	本科
数据运营-教育业务	1.4-2.8万/月	3-4年经验	本科
广告算法工程师	2.5-5万/月	在校生/应届生	本科
资深后端开发工程师-企业服务	4-8万/月	5-7年经验	本科
后端开发工程师-企业服务	3-6万/月	3-4年经验	本科
EDA 工程师	2-4万/月	在校生/应届生	本科
国际化数据分析师	3-6万/月	在校生/应届生	本科
数据分析师	3-6万/月	在校生/应届生	本科
后端研发工程师-广告技术	2-4万/月	3-4年经验	本科
需求分析师	1.5-2.5万/月	在校生/应届生	本科
广告度量大数据开发-数据平台方向	2-4万/月	在校生/应届生	本科
数据科学家	2-4万/月	在校生/应届生	本科
数据挖掘工程师	2-4万/月	在校生/应届生	本科
算法策略工程师	2-4万/月	在校生/应届生	本科
运维/开发工程师	3-6万/月	3-4年经验	本科
数据科学-数据分析师-财务BI	1-1.5万/月	2年经验	本科
测试开发工程师	2-4万/月	在校生/应届生	本科
SRE运维工程师-AI Lab	2.5-5万/月	在校生/应届生	本科
后台开发工程师-AI平台	2-4万/月	在校生/应届生	本科
电商数据产品经理	1.5-2.5万/月	3-4年经验	本科
高级后端开发工程-钱包支付	2.5-5万/月	在校生/应届生	本科
后端开发架构师-钱包支付	2.5-5万/月	在校生/应届生	本科
直播策略分析师	1.5-2.5万/月	3-4年经验	本科
风险策略数据分析专员	0.9-2.1万/月	3-4年经验	本科
数据分析师	1.5-3万/月	3-4年经验	本科
市场数据分析师-广告算法方向	1.5-3万/月	3-4年经验	本科
SRE高级研发工程师-今日头条/西瓜视频 APP	3-4万/月	在校生/应届生	本科
电商后台开发工程师 - 智能物流	3-6万/月	3-4年经验	本科
前端开发实习生—内容合作	8-9千/月	在校生/应届生	本科
电商大数据负责人 - 实时流方向	3.5-7万/月	5-7年经验	本科
高级数据分析师	2-3万/月	3-4年经验	本科
后端开发工程师	2.5-5万/月	3-4年经验	本科
电商产品经理-教育方向	2-4万/月	3-4年经验	本科
销售运营专家（搜索）	3.5-4.5万/月	5-7年经验	本科
高级游戏测试开发工程师 — 服务端	1.8-3.5万/月	在校生/应届生	本科
推荐算法工程师	2.5-5万/月	3-4年经验	本科
办公室规划分析师	1.2-2.4万/月	3-4年经验	本科
流量接入(高级)SRE工程师	2-4万/月	在校生/应届生	本科
后台开发工程师—质量实验室	2-4万/月	在校生/应届生	本科
高级/资深数据开发工程师 - Data&AILab	2.5-5万/月	3-4年经验	本科
后端核心研发工程师 - 抖音多媒体	2.5-5万/月	3-4年经验	本科
质量数据中台后端开发-新业务	3-5万/月	3-4年经验	本科
全栈工程师-国际化技术 — 抖音	2.5-5万/月	3-4年经验	本科
财务测试负责人-企业应用	3.5-4.5万/月	5-7年经验	本科
网络数据分析师	3-4万/月	在校生/应届生	本科
高级服务端工程师-火山引擎	2.5-5万/月	在校生/应届生	本科
Java高级研发工程师-客服中台引擎方向	2-4万/月	5-7年经验	本科
高级服务端工程师	1.5-3万/月	在校生/应届生	本科
客服平台高级研发工程师	2-4万/月	5-7年经验	本科
视频传输算法工程师（实习）	0.8-1万/月	在校生/应届生	本科
数据洞察策略经理	2-3千/月	5-7年经验	本科
IDC资产管理	1.5-3万/月	在校生/应届生	本科
IDC服务器运维工程师	2-4万/月	在校生/应届生	本科
后台开发实习生-小说业务	8-9千/月	在校生/应届生	本科
后端开发实习生-AI	0.8-1万/月	在校生/应届生	本科
战略数据分析师（商业化方向）	2-6万/月	在校生/应届生	本科
内容质量NLP算法工程师	2.5-5万/月	3-4年经验	本科
成本数据分析师	1.5-3万/月	在校生/应届生	本科
电商策略分析师（管控方向）	3.5-5万/月	5-7年经验	本科
高级SRE工程师 — 抖音/抖音火山版	2.5-5万/月	3-4年经验	本科
海外流量运营经理	1-2万/月	3-4年经验	本科
（高级）前端开发工程师 — 数据产品研发方向	2.5-5万/月	3-4年经验	本科
（高级）前端开发工程师 — 工程效率方向	2.5-5万/月	3-4年经验	本科
内容质量算法工程师	2-4万/月	在校生/应届生	本科
数据库开发工程师	2-4万/月	3-4年经验	本科
游戏战略商业分析（BA）-商业分析实习生	3-5千/月	在校生/应届生	本科
游戏战略商业分析（BA）-数据科学家	2-4万/月	3-4年经验	本科
游戏战略商业分析（BA）-商业分析师/商业分析专家	2-4万/月	3-4年经验	本科
Game Strategy -Business Analyst/ Analytics Expert	2-4万/月	3-4年经验	本科
高级后端研发工程师-飞书	2.5-5万/月	5-7年经验	本科
CV算法工程师	2.5-5万/月	3-4年经验	本科
服务端开发工程师-在线教室	2.5-5万/月	3-4年经验	本科
Devops 研发工程师	2-4万/月	在校生/应届生	本科
资深数据分析师	2-3万/月	3-4年经验	本科
内容安全策略专家	2-4万/月	5-7年经验	本科
技术支持专家-飞书	1.5-2万/月	在校生/应届生	本科
游戏战略-商业分析师	2-4万/月	3-4年经验	本科
图形图像工程师	2-4万/月	3-4年经验	硕士
游戏战略-数据分析师/数据分析专家	2-4万/月	3-4年经验	本科
直播数据平台资深研发工程师	3-6万/月	5-7年经验	本科
直播平台后端工程师 — 数据平台方向	2.5-5万/月	3-4年经验	本科
直播架构工程师 — 抖音/抖音火山版	3-6万/月	3-4年经验	本科
NLP算法工程师-搜索广告	3-6万/月	在校生/应届生	本科
机器学习算法工程师-搜索广告	3-6万/月	在校生/应届生	本科
系统数据分析师	2-4万/月	在校生/应届生	本科
自动化运维工程师	2-4万/月	5-7年经验	本科
游戏测试开发工程师	2-3.5万/月	在校生/应届生	本科
后端开发工程师-抖音/火山	2.5-5万/月	在校生/应届生	本科
高级安全架构师	3-6万/月	5-7年经验	本科
后台开发工程师（中级/高级/资深）— 企业SaaS应用	2.5-5万/月	3-4年经验	本科
数据建模分析师	2-4万/月	在校生/应届生	本科
用户增长数据分析师	1.5-3万/月	在校生/应届生	本科
测试工程师-直播中台	2-4万/月	在校生/应届生	本科
数据研发leader（游戏业务）	3-6万/月	在校生/应届生	本科
数据研发leader（教育业务）	3-6万/月	在校生/应届生	本科
广告智能创意研发工程师	2-4万/月	在校生/应届生	本科
服务端开发工程师	2-4万/月	在校生/应届生	本科
服务端开发工程师—自助广告与客户增长	2-4万/月	在校生/应届生	本科
广告研发实习生	4-8千/月	在校生/应届生	本科
广告素材系统研发工程师	2-4万/月	在校生/应届生	本科
后端研发工程师	2-4万/月	在校生/应届生	本科
中台架构高级/资深研发工程师-抖音	2.5-5万/月	3-4年经验	本科
核心系统资深研发工程师/架构师-抖音	2.5-5万/月	3-4年经验	本科
服务治理资深研发工程师-抖音	2.5-5万/月	3-4年经验	本科
后端研发实习生	4-8千/月	在校生/应届生	本科
服务端开发工程师	2-3.5万/月	在校生/应届生	本科
海外数据分析运营	1.5-3万/月	3-4年经验	本科
风控策略BP	2-4万/月	3-4年经验	本科
算法实习生	6-8千/月	在校生/应届生	本科
大数据研发工程师	2-4万/月	在校生/应届生	本科
全栈工程师 — 抖音移动平台	3-6万/月	3-4年经验	本科
网络研发专家	2.8-4.5万/月	在校生/应届生	本科
高级网络平台研发工程师	2.5-4.5万/月	在校生/应届生	本科
网络平台研发工程师	2-4万/月	在校生/应届生	本科
资深网络研发工程师	2-4万/月	在校生/应届生	本科
高级网络研发工程师	2.5-4万/月	在校生/应届生	本科
服务器选型测试工程师	2.5-4万/月	在校生/应届生	本科
高级服务器电源工程师	2-4万/月	在校生/应届生	本科
终端管理工程师-后台	2-4万/月	5-7年经验	本科
后台开发实习生-开发者平台	6-8千/月	在校生/应届生	本科
用户增长策略架构工程师	2-4万/月	3-4年经验	本科
前端工程师-广告系统	2-4万/月	在校生/应届生	本科
网络工程实习生	0.5-1万/月	在校生/应届生	本科
数据分析师	1.5-2.5万/月	3-4年经验	本科
全栈工程师	2-4万/月	在校生/应届生	本科
后端研发工程师 — 内容生态与体验	3-4万/月	在校生/应届生	本科
后端研发工程师 — 头条生态与体验	3-4万/月	在校生/应届生	本科
算法实习生	0.5-1万/月	在校生/应届生	本科
高级数据分析师-广告	2-4万/月	在校生/应届生	本科
后台工程师-AI	2.5-5万/月	5-7年经验	本科
SRE工程师	2-4万/月	在校生/应届生	本科
风控数据分析师	1.5-3万/月	在校生/应届生	本科
数学学科运营	1.5-3万/月	3-4年经验	本科
服务端研发工程师 — 移动平台	1.5-3万/月	在校生/应届生	本科
服务端开发工程师 — 教育	2-4万/月	3-4年经验	本科
后端开发实习生（可转正）	0.5-1万/月	在校生/应届生	本科
电商商家策略	2-3万/月	3-4年经验	本科
后端开发实习生	6-8千/月	在校生/应届生	本科
SRE工程师-系统技术方向	2.5-4.5万/月	在校生/应届生	本科
商业分析负责人	3-5万/月	5-7年经验	本科
系统数据平台研发工程师	2.5-4.5万/月	在校生/应届生	本科
系统软件工程师	2-4万/月	在校生/应届生	本科
算法工程师-TnS	2.5-5万/月	3-4年经验	本科
高级SRE工程师	2.5-5万/月	3-4年经验	本科
内容社区数据分析师	1.5-3万/月	3-4年经验	本科
后台开发工程师—小说业务	2-4万/月	在校生/应届生	本科
知识图谱平台研发工程师	2-4万/月	在校生/应届生	本科
资深服务端开发工程师	3-5万/月	5-7年经验	本科
数据分析师-社区生态方向	2-3.5万/月	3-4年经验	硕士
服务端开发工程师	2-4万/月	3-4年经验	本科
市场与用户研究-日本市场	2.5-4.5万/月	在校生/应届生	本科
后台开发实习生-教育-有转正机会	6-9千/月	在校生/应届生	本科
广告核心系统开发工程师	2.5-4.5万/月	在校生/应届生	本科
安全开发专家	2-4万/月	3-4年经验	本科
交换机软件开发工程师	2.5-4万/月	在校生/应届生	本科
数据分析 — 内容策略方向	1-2.5万/月	2年经验	本科
资深服务端研发工程师 — 订单系统	3-6万/月	3-4年经验	本科
服务端leader-抖音电商中台	4-7万/月	5-7年经验	本科
大数据leader	4-7万/月	5-7年经验	本科
商业分析	1.5-3万/月	3-4年经验	本科
运维工程师-企业应用	1.5-3万/月	3-4年经验	本科
策略产品经理（电商方向）	2.5-4万/月	3-4年经验	本科
后端开发工程师-飞书	2.5-5万/月	3-4年经验	本科
市场与用户研究经理——数据分析方向	2-4万/月	3-4年经验	本科
策略产品经理 — 番茄小说	2-4万/月	3-4年经验	本科
数据分析师-数据挖掘	3-6万/月	3-4年经验	本科
数据分析师	3-6万/月	3-4年经验	本科
People Scientist in People Analytics	2-4万/月	3-4年经验	博士
服务器安全开发工程师	2-4万/月	3-4年经验	本科
资深后端开发工程师 — 商业化	3-5万/月	5-7年经验	本科
产品数据分析师	1.5-3万/月	3-4年经验	本科
商业分析专家-增长方向	2.5-4.5万/月	5-7年经验	本科
Java开发工程师 - 新产品	3-4.5万/月	3-4年经验	本科
Java开发工程师	3-5万/月	3-4年经验	本科
大数据分析师-模型算法方向	2-4万/月	在校生/应届生	本科
数据分析师	2.5-5万/月	3-4年经验	本科
高级后端工程师	3-6万/月	3-4年经验	本科
市场与用户研究经理	2-3万/月	3-4年经验	本科
西瓜视频服务端开发工程师	2-4万/月	3-4年经验	本科
大数据算法工程师（BI部门）	2-3.5万/月	在校生/应届生	本科
后端开发工程师	2.5-5万/月	3-4年经验	本科
数据科学家	3-6万/月	5-7年经验	本科
数据科学家-飞书	3-6万/月	5-7年经验	本科
推荐算法工程师	2.5-5万/月	2年经验	本科
后端开发工程师	2-4万/月	2年经验	本科
短视频国际化资深数据分析师	2-4万/月	3-4年经验	本科
高级后端研发工程师（风控方向） - 电商	3-6万/月	3-4年经验	本科
Golang开发工程师 — 电商业务	3-6万/月	3-4年经验	本科
前端开发Leader—效率工程	4-8万/月	5-7年经验	本科
推荐算法工程师 - 垂直业务	3.5-5.5万/月	3-4年经验	本科
游戏数据分析师	1.5-3万/月	3-4年经验	本科
国际化品牌广告后端开发工程师 - 广告系统	2.5-3.5万/月	在校生/应届生	本科
后端开发工程师 - 效率工程	2-4万/月	2年经验	本科
大数据工程师（电商行业）	2.5-4万/月	2年经验	本科
核心业务（高级）开发工程师 - 好好学习	2-4万/月	2年经验	本科
后端工程师	2.5-5万/月	3-4年经验	本科
后端研发Leader	4-8万/月	5-7年经验	本科
服务端业务架构高级/资深工程师	3-5万/月	5-7年经验	本科
数据工程师	2.5-5万/月	5-7年经验	本科
策略产品经理 — 作者变现	1.5-3万/月	3-4年经验	本科
高级运维工程师 - 系统运维	2-4万/月	3-4年经验	本科
SRE高级工程师	2-4万/月	在校生/应届生	本科
国际支付架构研发工程师	2-4万/月	3-4年经验	本科
高级/资深广告投放研发工程师	2-4万/月	3-4年经验	本科
服务端安全开发工程师	2-4万/月	3-4年经验	本科
短视频数据分析师	2-4万/月	3-4年经验	本科
数据仓库高级工程师	3-5万/月	在校生/应届生	本科
高级后端开发工程师	3-5万/月	在校生/应届生	本科
资深网络研发工程师	2.5-5万/月	3-4年经验	本科
网络研发专家	3-6万/月	5-7年经验	本科
信息检索算法工程师-AI Lab	2-4万/月	在校生/应届生	本科
后端开发工程师-效率工具	3-5万/月	3-4年经验	本科
广告算法平台架构负责人	4-7万/月	3-4年经验	本科
高级前端开发工程师	2.5-5万/月	3-4年经验	本科
高级后端研发工程师	2.5-5万/月	3-4年经验	本科
数据挖掘工程师	2-4万/月	在校生/应届生	本科
NLP算法工程师	2-4万/月	在校生/应届生	本科
NLP算法专家	3-6万/月	在校生/应届生	本科
测试开发工程师	1.8-3.6万/月	在校生/应届生	本科
高级测试工程师	1.8-3.6万/月	在校生/应届生	本科
资深数据挖掘工程师	3-6万/月	3-4年经验	本科
Java开发工程师	2.5-5万/月	2年经验	本科
后台开发高级工程师 - 国际化	2-4万/月	2年经验	本科
游戏运维工程师	2-4万/月	3-4年经验	本科
后端研发工程师 - 网络平台方向	2-4万/月	3-4年经验	本科
后端开发工程师 - 视频架构	2-4万/月	2年经验	本科
后端开发工程师 — 安全	2-4万/月	3-4年经验	本科
多媒体研发工程师 - 视频架构	2.5-5万/月	3-4年经验	本科
高级后端开发工程师	3-5万/月	3-4年经验	本科
前端开发实习生	0.8-1.5万/月	在校生/应届生	本科
资深后端开发工程师 — 效率工具	3-5万/月	3-4年经验	本科
后端研发工程师 - 分布式系统研发	2-4万/月	3-4年经验	本科
视频云云平台服务端(高级)研发工程师	2.5-5万/月	3-4年经验	本科
数据仓库开发（高级）工程师	2-4万/月	2年经验	本科
服务端测试开发工程师	2.3-4.5万/月	3-4年经验	本科
测试开发工程师	2-4万/月	3-4年经验	本科
推荐架构工程师 — 抖音/火山	2.5-5万/月	3-4年经验	本科
推荐架构SRE工程师 — 抖音/火山	2.5-4万/月	3-4年经验	本科
SRE工程师 - 抖音/火山	2.5-4万/月	2年经验	本科
数据分析师	1.5-4.5万/月	5-7年经验	本科
核心研发工程师 - 抖音短视频	2.5-5万/月	3-4年经验	本科
核心研发工程师 - 火山小视频	2.5-5万/月	3-4年经验	本科
基础架构高级/资深工程师 - 抖音/火山	2.5-5万/月	3-4年经验	本科
高级图像算法研发工程师 - 视频增强方向	3.5-7万/月	3-4年经验	本科
基础架构工程师-国际化	2.5-5万/月	3-4年经验	本科
高级后端研发工程师 - 云计算	2.5-5万/月	3-4年经验	本科
后端研发工程师 - 头条运营方向	2-4万/月	2年经验	本科
高级运维工程师	2-4万/月	在校生/应届生	本科
高级后端研发工程师 - 平台研发	2.5-5万/月	3-4年经验	本科
架构高级/资深工程师 - 抖音/火山	2.5-5万/月	3-4年经验	本科
大数据开发实习生 — 新业务	7-9千/月	在校生/应届生	本科
商业化计费系统高级研发工程师	3-6万/月	在校生/应届生	本科
数据产品经理（数据仓库产品） - 企业级产品	2.5-3.5万/月	3-4年经验	本科
测试开发高级工程师 - 懂车帝	2.2-4万/月	3-4年经验	本科
前端开发高级工程师 - 懂车帝	2.5-5万/月	3-4年经验	本科
技术美术实习生 - 抖音短视频	6-8千/月	在校生/应届生	本科
高级技术美术 - 抖音短视频	2.5-5万/月	2年经验	本科
广告算法工程师 - 广告系统	2-4万/月	在校生/应届生	本科
基础架构高级/资深工程师 - 抖音/火山国际化	2.5-5万/月	3-4年经验	本科
技术美术 - 抖音短视频	2.5-5万/月	2年经验	本科
后端开发工程师 - 广告系统	1.5-3万/月	3-4年经验	本科
人力数据分析师	2-3.5万/月	3-4年经验	本科
系统开发实习生 - 性能优化	2-4千/月	在校生/应届生	本科
算法实习生 — 抖音短视频	6-8千/月	在校生/应届生	本科
后台开发实习生 - 懂车帝	5-9千/月	在校生/应届生	本科
高级品牌广告后端工程师 - 核心广告系统	3-6万/月	在校生/应届生	本科
